Genome	Total_ARGs	blaZ	mecA	mecC	Category	Total_Transporters	Max_Bitscore	Min_Bitscore	Mean_Bitscore	Median_Bitscore	Max_E_Value	Min_E_Value	Mean_E_Value	Median_E_Value	Max_Identity	Min_Identity	Mean_Identity	Median_Identity	Max_Length	Min_Length	Mean_Length	Median_Length
GCA_000772025.1_ASM77202v1	11	1	0	0	MRSA	140	1433	50.1	213.318571428571	112.5	2.91e-06	0	2.33695186756711e-08	2.595e-29	100	25.052	39.4971571428571	30.8725	710	70	296.728571428571	239.5
GCA_000815045.1_ASM81504v1	10	0	1	0	MRSA	135	1452	51.2	219.185925925926	113	5.76e-07	0	5.47063487825514e-09	1.15e-29	100	25.235	39.6079481481481	31.333	710	70	302.348148148148	240
GCA_000815085.1_ASM81508v1	10	0	1	0	MRSA	135	1452	51.2	219.185925925926	113	5.76e-07	0	5.47063487825514e-09	1.15e-29	100	25.235	39.6079481481481	31.333	710	70	302.348148148148	240
GCA_000815125.1_ASM81512v1	10	0	1	0	MRSA	135	1452	51.2	219.185925925926	113	5.76e-07	0	5.47063487825514e-09	1.15e-29	100	25.235	39.6079481481481	31.333	710	70	302.348148148148	240
GCA_000815165.1_ASM81516v1	10	0	1	0	MRSA	135	1452	51.2	219.185925925926	113	5.76e-07	0	5.47063487825514e-09	1.15e-29	100	25.235	39.6079481481481	31.333	710	70	302.348148148148	240
GCA_000815205.1_ASM81520v1	10	0	1	0	MRSA	135	1452	51.2	219.185925925926	113	5.76e-07	0	5.47063487825514e-09	1.15e-29	100	25.235	39.6079481481481	31.333	710	70	302.348148148148	240
GCA_000815245.1_ASM81524v1	10	0	1	0	MRSA	135	1452	51.2	219.185925925926	113	5.76e-07	0	5.47063487825514e-09	1.15e-29	100	25.235	39.6079481481481	31.333	710	70	302.348148148148	240
GCA_000828035.1_ASM82803v1	17	2	1	0	MRSA	131	1445	50.1	223.084732824427	114	2.71e-06	0	2.77494781693229e-08	4.41e-30	100	25.141	39.764572519084	31.22	727	70	305.167938931298	240
GCA_000967345.1_ASM96734v1	13	1	1	0	MRSA	135	1445	50.1	219.564444444444	114	2.98e-06	0	2.72929957383105e-08	5.03e-30	100	25.137	39.3999481481481	31.14	728	70	306.007407407407	249
GCA_000967365.1_ASM96736v1	13	1	1	0	MRSA	135	1445	50.1	219.564444444444	114	2.98e-06	0	2.72929957383105e-08	5.03e-30	100	25.137	39.3999481481481	31.14	728	70	306.007407407407	249
GCA_000967385.1_ASM96738v1	13	1	1	0	MRSA	135	1445	50.1	219.580740740741	114	2.98e-06	0	2.47670698123846e-08	5.03e-30	100	25.137	39.3806148148148	30.962	728	70	306.288888888889	249
GCA_000967405.1_ASM96740v1	13	1	1	0	MRSA	135	1445	50.1	219.571851851852	114	2.98e-06	0	2.72929957383105e-08	5.03e-30	100	25.137	39.3999481481481	31.14	728	70	306.007407407407	249
GCA_000969225.1_ASM96922v1	13	0	1	0	MRSA	136	1445	50.1	217.895588235294	113	2.98e-06	0	2.73754031967403e-08	9.31e-30	100	25.137	39.4257426470588	31.195	728	70	300.676470588235	240.5
GCA_001018645.2_ASM101864v2	9	0	0	0	MSSA	136	1453	51.2	218.297058823529	113.5	6.83e-07	0	1.25723018388649e-08	9.31e-30	100	25.14	39.6774926470588	31.537	728	61	301.838235294118	240
GCA_001018655.2_ASM101865v2	12	0	0	0	MSSA	131	1451	50.1	223.26106870229	114	2.71e-06	0	2.61865684387727e-08	4.75e-30	100	25.235	39.7968167938931	31.25	710	70	306.038167938931	241
GCA_001018685.2_ASM101868v2	9	0	0	0	MSSA	131	1452	51.2	223.474809160305	114	5.76e-07	0	5.66897468207221e-09	4.75e-30	100	25.235	39.7992442748092	31.25	710	70	306.343511450382	243
GCA_001018725.2_ASM101872v2	9	0	0	0	MSSA	131	1451	50.1	223.392366412214	114	2.71e-06	0	2.61865684370262e-08	4.75e-30	100	25.137	39.7845648854962	31.25	710	70	305.885496183206	241
GCA_001018735.2_ASM101873v2	11	1	0	0	MRSA	132	1451	50.1	222.302272727273	113.5	2.71e-06	0	2.5988185342816e-08	6.665e-30	100	25.137	39.7622727272727	31.2915	710	70	304.431818181818	240.5
GCA_001018775.2_ASM101877v2	9	0	0	0	MSSA	134	1445	50.1	220.425373134328	113.5	2.98e-06	0	2.75444365551738e-08	6.075e-30	100	25.137	39.4960074626866	31.195	728	70	305.10447761194	243
GCA_001018805.2_ASM101880v2	9	0	0	0	MSSA	131	1451	50.1	223.387786259542	114	2.71e-06	0	2.61865684370262e-08	4.75e-30	100	25.137	39.7845648854962	31.25	710	70	305.885496183206	241
GCA_001018835.2_ASM101883v2	10	1	1	0	MRSA	136	1427	50.1	217.334558823529	112.5	9.6e-07	0	1.28800599118015e-08	3.625e-29	100	25.083	39.3073529411765	31.1945	710	70	302.389705882353	241.5
GCA_001018845.2_ASM101884v2	9	0	0	0	MSSA	139	1447	50.1	213.965467625899	112	2.83e-06	0	4.62694519496991e-08	9.15e-29	100	25.067	39.1306258992806	30.943	727	70	295.964028776978	239
GCA_001018915.2_ASM101891v2	9	0	0	0	MSSA	131	1451	50.1	223.395419847328	114	2.71e-06	0	2.61865684370262e-08	4.75e-30	100	25.137	39.7845648854962	31.25	710	70	305.885496183206	241
GCA_001018975.2_ASM101897v2	10	1	0	0	MRSA	140	1436	50.1	214.092142857143	112	2.91e-06	0	2.33450973560794e-08	5.04e-29	100	25.052	39.0275428571429	30.8725	710	70	298.142857142857	239.5
GCA_001019255.2_ASM101925v2	12	1	1	0	MRSA	135	1445	50.1	219.304444444444	113	2.98e-06	0	2.74559594799663e-08	7.12e-30	100	25.141	39.4457111111111	31.25	710	70	303.688888888889	243
GCA_001019275.2_ASM101927v2	10	0	0	0	MSSA	131	1451	50.1	223.268702290076	114	2.71e-06	0	2.61865684387727e-08	4.75e-30	100	25.235	39.7968167938931	31.25	710	70	306.038167938931	241
GCA_001019395.2_ASM101939v2	10	0	1	0	MRSA	135	1433	50.1	219.645925925926	113	2.91e-06	0	2.70106911199577e-08	1.49e-29	100	25.052	39.411837037037	30.962	728	70	304.42962962963	240
GCA_001019485.2_ASM101948v2	13	1	1	0	MRSA	133	1451	51.2	220.544360902256	113	5.76e-07	0	6.37276671696894e-09	8.58e-30	100	25.235	39.7631353383459	31.333	710	63	301.984962406015	240
GCA_001019495.2_ASM101949v2	15	0	1	0	MRSA	136	1445	50.1	217.769117647059	113	2.98e-06	0	2.58411384734653e-08	9.31e-30	100	25.137	39.3822573529412	31.051	728	70	300.411764705882	240
GCA_001021895.1_ASM102189v1	12	1	1	0	MRSA	132	1452	51.2	221.761363636364	113	5.76e-07	0	5.60709592710196e-09	1.004e-29	100	25.235	39.8421060606061	31.3345	710	70	303.378787878788	240.5
GCA_001045795.2_ASM104579v2	11	1	1	0	MRSA	133	1452	50.8	221.668421052632	114	5.92e-07	0	5.66231339966631e-09	4.75e-30	100	25.235	39.6880526315789	31.25	710	70	305.172932330827	243
GCA_001045995.2_ASM104599v2	13	1	1	0	MRSA	133	1452	51.2	221.533082706767	113	5.76e-07	0	5.62184724324544e-09	8.58e-30	100	25.235	39.7028045112782	31.333	710	70	304.992481203008	241
GCA_001046095.2_ASM104609v2	14	1	1	0	MRSA	133	1451	51.2	221.622556390977	114	5.76e-07	0	7.43560664174029e-09	4.75e-30	100	25.235	39.5613383458647	30.962	710	70	306.781954887218	243
GCA_001183705.3_ASM118370v3	15	1	1	0	MRSA	137	1452	51.2	217.183941605839	113	5.76e-07	0	7.02580809171127e-09	4.11e-29	100	25.235	39.4230072992701	31.25	710	70	300.970802919708	240
GCA_001183725.2_ASM118372v2	15	1	1	0	MRSA	138	1452	51.2	216.364492753623	112	5.76e-07	0	6.2357660067583e-09	5.245e-29	100	25.235	39.3672753623188	31.106	710	70	301.260869565217	240
GCA_001281145.1_ASM128114v1	10	1	0	0	MRSA	134	1445	50.1	220.398507462687	113.5	2.98e-06	0	2.75444365506962e-08	6.075e-30	100	25.137	39.4993358208955	31.195	728	70	305.10447761194	243
GCA_001444345.1_ASM144434v1	10	1	0	0	MRSA	136	1447	50.1	216.721323529412	112	2.83e-06	0	4.87421603467808e-08	4.05e-29	100	25.067	39.3255294117647	30.9525	727	70	297.860294117647	240
GCA_001457495.1_NCTC13435	12	0	1	0	MRSA	129	1443	50.1	225.21007751938	118	2.98e-06	0	2.86182095875838e-08	7.14e-31	100	25.21	40.0515503875969	31.472	710	70	305.651162790698	243
GCA_001465675.1_ASM146567v1	13	1	1	0	MRSA	129	1452	50.1	226.499224806202	119	3.03e-06	0	3.42366229023974e-08	4.87e-31	100	25.07	40.0341395348837	30.962	727	70	309.434108527132	246
GCA_001515665.1_ASM151566v1	20	1	1	0	MRSA	132	1451	51.6	221.453787878788	113	2.44e-07	0	3.45427219612081e-09	6.665e-30	100	25.235	39.8016742424242	30.9525	710	70	300.181818181818	239.5
GCA_001515685.1_ASM151568v1	20	1	1	0	MRSA	132	1451	51.6	221.466666666667	113	2.44e-07	0	3.45433191379308e-09	6.665e-30	100	25.235	39.8354696969697	31.106	710	70	299.984848484848	239.5
GCA_001515705.1_ASM151570v1	20	1	1	0	MRSA	131	1451	50.8	222.642748091603	113	6.24e-07	0	6.37941931212173e-09	4.75e-30	100	25.235	39.9579007633588	31.25	710	70	299.809160305344	238
GCA_001515745.1_ASM151574v1	19	1	1	0	MRSA	133	1451	50.8	220.018796992481	113	6.24e-07	0	6.26925443524773e-09	8.58e-30	100	25.235	39.8424511278196	31.579	710	70	297.187969924812	238
GCA_001515765.1_ASM151576v1	18	1	1	0	MRSA	131	1451	51.6	222.350381679389	113	2.44e-07	0	3.48064206021334e-09	4.75e-30	100	25.235	39.899465648855	30.962	710	70	300.748091603053	240
GCA_001548415.1_ASM154841v1	17	1	1	0	MRSA	136	1445	50.1	218.041176470588	113	2.98e-06	0	2.74129031823036e-08	9.31e-30	100	25.137	39.4192132352941	31.195	728	70	302.294117647059	242
GCA_001549655.1_ASM154965v1	12	1	1	0	MRSA	130	1451	50.1	223.706923076923	115	3.06e-06	0	3.54851539738826e-08	2.26e-30	100	25.21	39.8894153846154	31.2765	710	70	304.223076923077	241
GCA_001549675.1_ASM154967v1	12	1	1	0	MRSA	130	1451	50.1	223.706923076923	115	3.06e-06	0	3.54851539738826e-08	2.26e-30	100	25.21	39.8894153846154	31.2765	710	70	304.223076923077	241
GCA_001558795.2_ASM155879v2	14	1	0	0	MRSA	137	1445	50.1	217.44598540146	113	2.98e-06	0	2.85763102030213e-08	1.15e-29	100	25.137	39.2368248175182	30.962	728	70	303.138686131387	241
GCA_001580515.1_ASM158051v1	15	5	1	0	MRSA	144	1452	51.2	210.170138888889	111.5	5.76e-07	0	8.31303284173225e-09	1.275e-28	100	25.235	39.2697916666667	31.3345	710	59	292.763888888889	237
GCA_001611325.1_ASM161132v1	10	1	0	0	MRSA	131	1449	50.1	223.37786259542	114	2.98e-06	0	2.80074128238868e-08	4.75e-30	100	25.235	39.8263129770992	31.25	710	70	305.435114503817	243
GCA_001611345.1_ASM161134v1	9	0	0	0	MSSA	130	1449	50.1	224.25	115	2.98e-06	0	2.82228544609936e-08	2.6825e-30	100	25.235	39.8736461538462	31.2095	710	70	306.276923076923	243
GCA_001611405.1_ASM161140v1	10	1	0	0	MRSA	131	1449	50.1	223.345038167939	114	2.98e-06	0	2.80074128238996e-08	4.75e-30	100	25.235	39.8243740458015	31.25	710	70	305.435114503817	243
GCA_001611425.1_ASM161142v1	10	1	0	0	MRSA	131	1449	50.1	223.345038167939	114	2.98e-06	0	2.80074128238996e-08	4.75e-30	100	25.235	39.8243740458015	31.25	710	70	305.435114503817	243
GCA_001618305.1_ASM161830v1	10	0	1	0	MRSA	135	1442	50.1	219.318518518519	113	2.98e-06	0	2.74989222059992e-08	7.12e-30	100	25.137	39.4507925925926	31.25	728	70	303.933333333333	243
GCA_001640905.1_ASM164090v1	16	1	1	0	MRSA	136	1445	50.1	217.571323529412	112.5	2.98e-06	0	2.56393766602562e-08	3.765e-29	100	25.137	39.3901764705882	31.051	728	70	299.022058823529	240
GCA_001640925.1_ASM164092v1	16	1	1	0	MRSA	138	1445	50.1	215.674637681159	112	2.98e-06	0	2.54524002593716e-08	7.765e-29	100	25.137	39.2149347826087	31.051	728	70	300.594202898551	240.5
GCA_001641025.1_ASM164102v1	20	1	1	0	MRSA	133	1451	52.4	222.287218045113	115	2.44e-07	0	3.11170920413449e-09	7.64e-31	100	25.235	39.6805413533835	31.321	710	70	304.759398496241	240
GCA_001641045.1_ASM164104v1	20	1	1	0	MRSA	132	1451	52.4	223.135606060606	115.5	2.44e-07	0	3.14666636926653e-09	7.39e-31	100	25.235	39.7653257575758	31.2855	710	70	304.204545454545	240.5
GCA_001656045.1_ASM165604v1	10	1	0	0	MRSA	129	1383	50.1	222.027131782946	114	2.98e-06	0	2.84416378999199e-08	4.75e-30	100	25.235	39.3982945736434	31.169	696	70	307.170542635659	243
GCA_001717665.2_ASM171766v2	10	2	0	0	MRSA	130	1453	50.1	224.073846153846	115	3.06e-06	0	3.04390001277288e-08	7.51e-31	100	25.141	39.8916923076923	31.327	710	70	306.723076923077	242
GCA_001717685.3_ASM171768v3	17	2	1	0	MRSA	138	1452	51.2	216.38115942029	113	5.76e-07	0	6.97489643884887e-09	2.63e-29	100	25.235	39.3230869565217	31.106	710	70	301.557971014493	239.5
GCA_001717705.2_ASM171770v2	15	1	1	0	MRSA	138	1452	51.2	216.364492753623	112	5.76e-07	0	6.2357660067583e-09	5.245e-29	100	25.235	39.3672753623188	31.106	710	70	301.260869565217	240
GCA_001717725.2_ASM171772v2	15	1	1	0	MRSA	138	1449	51.2	215.503623188406	112.5	5.76e-07	0	6.9748964388751e-09	5.245e-29	100	25.235	39.8463985507246	31.2915	710	47	298.731884057971	239.5
GCA_001717975.3_ASM171797v3	15	1	0	0	MRSA	139	1452	51.2	215.109352517986	113	5.76e-07	0	6.92471732780175e-09	1.15e-29	100	25.235	39.3583525179856	31.25	710	70	299.73381294964	240
GCA_001879545.1_ASM187954v1	10	0	0	0	MSSA	134	1453	50.1	220.248507462687	113.5	2.64e-06	0	2.72900899373098e-08	6.075e-30	100	25.14	39.497552238806	31.3065	728	70	307.111940298507	243
GCA_001887075.1_ASM188707v1	15	1	1	0	MRSA	129	1452	50.1	226.764341085271	119	3.03e-06	0	3.42316926707486e-08	4.87e-31	100	25.07	40.0596356589147	31.25	727	70	308.821705426357	246
GCA_001956755.1_ASM195675v1	10	0	0	0	MSSA	138	1434	50.1	215.844202898551	112	2.91e-06	0	2.64598195291557e-08	5.04e-29	100	25.052	39.1770144927536	30.8555	728	70	301.079710144928	240
GCA_001956815.1_ASM195681v1	15	1	1	0	MRSA	137	1450	51.2	217.157664233577	113	5.76e-07	0	7.02580809170674e-09	4.11e-29	100	25.235	39.4208102189781	31.25	710	70	300.970802919708	240
GCA_001975005.1_ASM197500v1	18	1	1	0	MRSA	139	1445	50.1	215.070503597122	112	2.98e-06	0	2.83960779345234e-08	6.38e-29	100	25.137	39.2215107913669	31.14	728	70	299.798561151079	240
GCA_001975045.1_ASM197504v1	15	1	1	0	MRSA	136	1445	50.1	218.034558823529	113	2.98e-06	0	2.73754031830198e-08	9.31e-30	100	25.137	39.4134632352941	31.195	728	70	302.279411764706	242
GCA_001986135.1_ASM198613v1	14	1	1	0	MRSA	132	1450	50.1	222.432575757576	114	2.81e-06	0	2.21934636292908e-08	5.935e-30	100	25.141	39.6364848484848	31.191	728	70	307.174242424242	242
GCA_002000565.1_ASM200056v1	17	1	1	0	MRSA	136	1452	51.2	217.976470588235	113	5.76e-07	0	7.07746846738562e-09	2.63e-29	100	25.235	39.5047132352941	31.2915	710	70	301.573529411765	240
GCA_002000585.1_ASM200058v1	17	1	1	0	MRSA	136	1452	51.2	217.976470588235	113	5.76e-07	0	7.07746846738562e-09	2.63e-29	100	25.235	39.5047132352941	31.2915	710	70	301.573529411765	240
GCA_002000605.1_ASM200060v1	17	1	1	0	MRSA	136	1452	51.2	217.976470588235	113	5.76e-07	0	7.07746846738562e-09	2.63e-29	100	25.235	39.5047132352941	31.2915	710	70	301.573529411765	240
GCA_002000625.1_ASM200062v1	16	1	1	0	MRSA	137	1452	51.2	217.129927007299	113	5.76e-07	0	7.02580811360908e-09	4.11e-29	100	25.235	39.4295839416058	31.25	710	70	300.868613138686	240
GCA_002000645.1_ASM200064v1	16	1	1	0	MRSA	137	1452	51.2	217.192700729927	113	5.76e-07	0	7.03157453696674e-09	4.11e-29	100	25.235	39.4255109489051	31.25	710	70	300.970802919708	240
GCA_002000665.1_ASM200066v1	16	1	1	0	MRSA	137	1452	51.2	217.189781021898	113	5.76e-07	0	7.0258081135839e-09	4.11e-29	100	25.235	39.4230072992701	31.25	710	70	300.970802919708	240
GCA_002000685.1_ASM200068v1	17	1	1	0	MRSA	137	1452	51.2	217.137226277372	113	5.76e-07	0	7.02580811360908e-09	4.11e-29	100	25.235	39.4295839416058	31.25	710	70	300.868613138686	240
GCA_002000705.1_ASM200070v1	16	1	1	0	MRSA	137	1452	51.2	217.189781021898	113	5.76e-07	0	7.0258081135839e-09	4.11e-29	100	25.235	39.4230072992701	31.25	710	70	300.970802919708	240
GCA_002000725.1_ASM200072v1	16	1	1	0	MRSA	137	1452	51.2	217.189781021898	113	5.76e-07	0	7.0258081135839e-09	4.11e-29	100	25.235	39.4230072992701	31.25	710	70	300.970802919708	240
GCA_002000745.1_ASM200074v1	16	1	1	0	MRSA	137	1452	51.2	217.189781021898	113	5.76e-07	0	7.0258081135839e-09	4.11e-29	100	25.235	39.4230072992701	31.25	710	70	300.970802919708	240
GCA_002000765.1_ASM200076v1	16	1	1	0	MRSA	137	1452	51.2	217.189781021898	113	5.76e-07	0	7.0258081135839e-09	4.11e-29	100	25.235	39.4230072992701	31.25	710	70	300.970802919708	240
GCA_002000785.1_ASM200078v1	16	1	1	0	MRSA	137	1452	51.2	217.173722627737	113	5.76e-07	0	7.02580811360908e-09	4.11e-29	100	25.235	39.4215693430657	31.25	710	70	300.970802919708	240
GCA_002000805.1_ASM200080v1	16	1	1	0	MRSA	137	1452	51.2	217.195620437956	113	5.76e-07	0	7.02580811360908e-09	4.11e-29	100	25.235	39.4255109489051	31.25	710	70	300.970802919708	240
GCA_002000825.1_ASM200082v1	16	1	1	0	MRSA	137	1452	51.2	217.173722627737	113	5.76e-07	0	7.02580811360908e-09	4.11e-29	100	25.235	39.4215693430657	31.25	710	70	300.970802919708	240
GCA_002000845.1_ASM200084v1	16	1	1	0	MRSA	137	1452	51.2	217.173722627737	113	5.76e-07	0	7.02580811360908e-09	4.11e-29	100	25.235	39.4215693430657	31.25	710	70	300.970802919708	240
GCA_002000865.1_ASM200086v1	17	1	1	0	MRSA	137	1452	51.2	217.137226277372	113	5.76e-07	0	7.02580811360908e-09	4.11e-29	100	25.235	39.4295839416058	31.25	710	70	300.868613138686	240
GCA_002025125.1_ASM202512v1	13	1	1	0	MRSA	129	1452	50.1	226.522480620155	119	3.03e-06	0	3.42366229023974e-08	4.87e-31	100	25.07	40.0321782945736	30.962	727	70	309.426356589147	246
GCA_002025145.1_ASM202514v1	8	0	0	0	MSSA	133	1437	50.1	221.67969924812	114	2.98e-06	0	2.53566318585269e-08	4.44e-30	100	25.034	39.8809323308271	31.602	727	70	303.067669172932	241
GCA_002085525.1_ASM208552v1	10	0	1	0	MRSA	135	1452	51.2	219.178518518519	113	5.76e-07	0	5.47063487825514e-09	1.15e-29	100	25.235	39.6040814814815	31.333	710	70	302.348148148148	240
GCA_002088995.1_ASM208899v1	10	0	1	0	MRSA	135	1452	51.2	219.178518518519	113	5.76e-07	0	5.47063487836625e-09	1.15e-29	100	25.235	39.6040814814815	31.333	710	70	302.348148148148	240
GCA_002089035.2_ASM208903v2	10	1	0	0	MRSA	129	1452	50.1	224.710852713178	118	3.03e-06	0	2.73732501908342e-08	2.99e-30	100	25.172	40.2495813953488	31.333	727	70	304.139534883721	243
GCA_002089055.1_ASM208905v1	10	0	2	0	MRSA	127	1452	50.1	227.857480314961	119	3.03e-06	0	3.47707744439493e-08	4.87e-31	100	25.245	40.1762992125984	30.962	713	70	308.88188976378	246
GCA_002097595.2_ASM209759v2	18	1	1	0	MRSA	132	1449	50.8	223.096212121212	115.5	6.24e-07	0	6.01408975871127e-09	2.757e-30	100	25.235	39.7872121212121	31.2915	710	70	304.75	240.5
GCA_002202075.1_ASM220207v1	9	0	0	0	MSSA	135	1436	50.1	219.837037037037	113	2.91e-06	0	2.76363903620881e-08	4.75e-30	100	25.052	39.3561481481482	30.962	728	70	304.874074074074	240
GCA_002202095.1_ASM220209v1	9	0	0	0	MSSA	135	1436	50.1	219.837037037037	113	2.91e-06	0	2.76363903620881e-08	4.75e-30	100	25.052	39.3561481481482	30.962	728	70	304.874074074074	240
