arabinose_transporters	galactose_transporters	glucose_transporters	lactose_transporters	mannitol_transporters	mannose_transporters	polysia_transporters	sia_transporters	ribose_transporters	sucrose_transporters
A0A0A2XSU4	A0A1B3MSZ5	A0A0A0ICR4	A0A061SVW6	A0A085P927	A0A0M3RJN6	A0A0F5MNP2	A0A0H3FMC5	Q3J3V9	A0A1C3HJ51
A0A0C3IAA2	A0A1B3N0J0	A0A0A0SMG6	A0A064AI99	A0A085P928	A0A0P6WEB3	A0A0G0NR91	A0A0H3GZ89	Q3JSI8	A0A1C3SK22
A0A0E0XZ59	A0A1C3NIF1	A0A0A2U2C9	A0A064C2V2	A0A087IAF7	A0A0Q0YQL8	A0A0G9GHA6	A0A0H3NGH6	Q48GY7	A0A1E4CPI5
A0A0F0G6N4	A0A1D8ADB7	A0A0A2XCR5	A0A066UWG5	A0A089PNT1	A0A0Q9XJ53	A0A0H1RMU9	A0A0H3NU41	Q48JS8	A0A1F1W843
A0A0F3KQ09	A0A1Q2P4N2	A0A0A2XKC1	A0A069EUF8	A0A089RJR9	A0A0U2IU43	A0A0J1F7V8	A0A0H3PTQ7	Q4KDI2	A0A1P8NCX1
A0A0F5K2F0	A0A1Q2PGF5	A0A0A2Y340	A0A069JS19	A0A097R484	A0A125YKQ2	A0A0K9G9H1	A0A0H5HXK5	Q4ZRC6	A0A1P8U8G6
A0A0F5VDV3	A0A1Q2PQ11	A0A0A2ZU57	A0A069T1Z0	A0A098CB65	A0A131HWW8	A0A0M0G8M0	A0A0H5LXF8	Q57HW1	A0A1Q5XWF8
A0A0F7HF09	A0A1Q2PUP1	A0A0A3AJ27	A0A071LVD1	A0A099I5H2	A0A151A2B3	A0A0M2AA71	A0A0I0LCM2	Q5E4V6	A0A1R0YIJ3
A0A0H3EK18	A0A1Q2QGA2	A0A0A3AUI4	A0A071LY67	A0A099JVB8	A0A1C7HK42	A0A0M2T1U2	A0A0J1LS54	Q5KYQ7	A0A1V2BSQ6
A0A0H3G2U2	A0A1Q2QKH9	A0A0A5GAI8	A0A073IM93	A0A0A0B7Z7	A0A1C7HK79	A0A0M5N1F1	A0A0J1Q8Z9	Q6DB87	A0A1X4JCS5
A0A0H3HDJ9	A0A1Q2QQ42	A0A0A5GSC9	A0A073J4N9	A0A0A2WVM7	A0A1E9A7R8	A0A0M6WNP5	A0A0J2E6W2	Q7CG00	A0A223GVW0
A0A0J8VMC5	A0A1Q2QUE6	A0A0A5HLJ8	A0A074JEZ0	A0A0A2XCJ8	A0A1J0A8C7	A0A0Q6Z3X6	A0A0J2EE42	Q7UU57	A0A235AE28
A0A0L0APQ1	A0A1Q2R7R2	A0A0A5HV00	A0A074JZZ7	A0A0A2YIQ2	A0A1J3ZTV7	A0A0Q8BJK0	A0A0J2H658	Q81V36	A0A246EBK7
A0A0L0GK30	A0A1Q2RD80	A0A0A5JG67	A0A074TCM8	A0A0A2ZY64	A0A1J4E7F3	A0A0R2JCU8	A0A0J8XW33	Q82CM5	A0A268B3D2
A0A0L7TG75	A0A1Q2RGV2	A0A0A5P8L4	A0A075N850	A0A0A3AQH0	A0A1L7CPC0	A0A0R2JKJ2	A0A0J8YBD3	Q87ZE0	A0A268SDD4
A0A0M0I0K1	A0A1Q2RMN3	A0A0A6QKM5	A0A075SCX4	A0A0A7S413	A0A1S1H0J4	A0A0R2JKR0	A0A0K0HF50	Q883I5	A0A285B0J0
A0A0M2F0C3	A0A1Q2RVM2	A0A0A6QU35	A0A075SED3	A0A0A8E8U6	A0A1V8X802	A0A0R2K615	A0A0K3ITE2	Q88J90	A0A291GWV4
A0A0Q2M9I0	A0A1Q2RZL8	A0A0A8HM69	A0A081L9N3	A0A0B0H3Y6	A0A1Y3TSI3	A0A0R3MDW3	A0A0L0GP88	Q8CK44	A0A2A3YG17
A0A0S3DSJ5	A0A1Q2S894	A0A0B2YI80	A0A081N9C6	A0A0B0H8D7	A0A229VZY9	A0A0S3PNT4	A0A0L6ZW39	Q8NR12	A0A2I1LKR6
A0A0T9M324	A0A1Q2SH04	A0A0B3W6H0	A0A081NGP5	A0A0B0HAN5	A0A261FVD6	A0A0S3TG60	A0A0N8J081	Q8RBQ1	A0A2K9D823
A0A0T9T8K2	A0A1Q6A3R1	A0A0B5AP48	A0A081PS05	A0A0B0HBV2	A0A261G1Q2	A0A0U5BTI6	A0A0R9PXZ1	Q8U949	A0A2N4VL26
A0A0U1HPP5	A0A1S2NAG2	A0A0B5QLW7	A0A081QJU0	A0A0B1RFV6	A0A291JHD8	A0A0V8CQA2	A0A0T9JDD0	Q8U9B0	A0A2S5V295
A0A0U1KB43	A0A1S2NH15	A0A0B5QUA3	A0A081XUC6	A0A0B2AD33	A0A291JHS6	A0A0V8E171	A0A0T9LGC5	Q8UA86	A0A2S5WGL2
A0A0U3UQ81	A0A1U9IUU7	A0A0B5X636	A0A081XUC7	A0A0B3BJR5	A0A2A7MBS1	A0A0V8E2E6	A0A0T9NF77	Q8UAK2	A0A2S5WHW2
A0A142P8P3	A0A1U9LIF6	A0A0B9GWP8	A0A084JAY7	A0A0B4DZ94	A0A2H6CVZ6	A0A0V8ENN7	A0A0T9NI13	Q8UBN2	A0A2S5X217
A0A1A7NUK0	A0A1W6BWL7	A0A0C1ZJW0	A0A084JAY9	A0A0C1W7V6	A0A2K4AHF7	A0A0Z8F2M2	A0A0T9PEA9	Q8X5Q4	A0A2U2RMX3
A0A1A7PY03	A0A1Y5PNX4	A0A0C2DJT0	A0A084JDC6	A0A0C2ZLG1	A0A2K4FAK2	A0A109QC49	A0A0T9TQB3	Q8XAW7	A0A2W6VUT2
A0A2N4W3X1	A0A1Y5PXR6	A0A0C2DKN0	A0A084JJ86	A0A0C5BG42	A0A2N3QEV7	A0A125SZP8	A0A0T9UZK5	Q8Y003	A0A2X2G4B3
A0A2X2CIC6	A0A1Y5QAK1	A0A0C2NML9	A0A084JQK4	A0A0C5WUZ4	A0A2N3QUC1	A0A139MHI6	A0A0U1HV60	Q8Z2R4	A0A2Z2KMS9
A0A378XQJ3	A0A1Y6HIK4	A0A0C2RDW8	A0A084JQP8	A0A0D0K939	A0A2N3R7D0	A0A150H5F5	A0A0U3UIN9	Q8ZKV9	A0A2Z5BKG9
A0A3E1CHV9	A0A212JXW7	A0A0C2RKD1	A0A084T9T5	A0A0D2J8S9	A0A2N6QHJ6	A0A150LHC0	A0A140N5U5	Q92MP8	A0A345YRS8
A0A443VSQ6	A0A238GVZ2	A0A0C2W6U6	A0A084TA84	A0A0D5CL28	A0A2S6DRV6	A0A165MZZ5	A0A143I2W0	Q92S10	A0A367Y7B5
A0A5M3VFH3	A0A248UBX7	A0A0C7K740	A0A084TBL7	A0A0D7X7S5	A0A2T3QL61	A0A166K4Q1	A0A192CCD5	Q92TS8	A0A368LAF8
A0A7H8Y2L2	A0A256EZJ7	A0A0D0PS69	A0A085K5B5	A0A0D8WGT4	A0A398C799	A0A173R2E4	A0A192CCR0	Q92UI2	A0A3D2NHJ0
A0A806UYG6	A0A256F0Y5	A0A0D0SII1	A0A086E7T6	A0A0D8WI78	A0A3R6YMX1	A0A173UVQ0	A0A198GYM9	Q92W60	A0A3G9IR80
A0A919HMS1	A0A256FUF6	A0A0D6XP63	A0A086GLM4	A0A0F0LS90	A0A412CH86	A0A173W0M7	A0A1B7HKN2	Q9CF44	A0A3N2SF03
A0K4E8	A0A256G7F5	A0A0D6XS88	A0A086GLM6	A0A0F0XWN8	A0A418HQG9	A0A173Y0Z7	A0A1B7I2U6	Q9KAG5	A0A3N9Q6D1
E2QN98	A0A2H1SWI4	A0A0D6ZDW0	A0A086N2D0	A0A0F1AZA5	A0A430FWX7	A0A174C4H1	A0A1B7IK14	Q9KN37	A0A3R8RRJ5
I0QSA5	A0A2K4X8I2	A0A0D8PNK8	A0A086N2D1	A0A0F1D9K8	A0A449E6A1	A0A174DSN1	A0A1B7JIP8	Q9RDI1	A0A3S0UI48
I4MXL5	A0A2K4XFR1	A0A0E3CJC3	A0A086Y3E8	A0A0F6KT21	A0A4Q5A3R6	A0A174FVM8	A0A1C3Q8K3	Q9WXX0	A0A3S1D0X1
K0G337	A0A2N9LAQ4	A0A0E3Z9Q3	A0A086YAI9	A0A0F6RFD8	A0A4Q5A7I9	A0A174HYM7	A0A1C6Z5G1	Q9X051	A0A403MPL7
M1JFW6	A0A2N9M315	A0A0E7MHR4	A0A087E864	A0A0F7DJ25	A0A4Q5AC65	A0A178WXJ2	A0A1D8K004	A0A1V4B2J6	A0A428N0V0
P0AE25	A0A2U3K665	A0A0F2HZU4	A0A087K858	A0A0F7HHC9	A0A4Q5ACG9	A0A179T2A2	A0A1I6ENP8	A0A378THC3	A0A433JQH4
Q0B5V4	A0A2U3L492	A0A0F4WP01	A0A089PYM9	A0A0G3S7B7	A0A4Q5ANI4	A0A199YT29	A0A1J6Y5A2	A0A380TN04	A0A4P7INN9
Q0TGT7	A0A2X2CL99	A0A0F5AUA8	A0A089Q0X8	A0A0G3SVI2	A0A4Q5ANJ0	A0A1B7INP7	A0A1M0CTZ0	A0A4V0IGE0	A0A4P8RCF1
Q13U53	A0A2X4ZS15	A0A0F5VG61	A0A090ZV83	A0A0G4JXR8	A0A4Q5AYG5	A0A1C5NEL8	A0A1M0SLX1	A0B1M7	A0A4S2D1X4
Q1BZA2	A0A2Z6UQ76	A0A0F5ZRA1	A0A093RW25	A0A0G9FC33	A0A4Q5B704	A0A1C5U0I2	A0A1Q6BAE4	A0K718	A0A4Y3JQG1
Q1C7J0	A0A377IPM4	A0A0F5ZUU5	A0A094P0P7	A0A0H2ZA17	A0A4Q5BGW3	A0A1C5V9X5	A0A1R0FSA0	C3SL12	A0A4Y9FPF4
Q1CIX6	A0A377RY66	A0A0F5ZYM6	A0A094RZG3	A0A0H2ZBA7	A0A4S2CD69	A0A1C5VI40	A0A1S0Z7U3	E0SDU0	A0A5C1C0M3
Q1MBG4	A0A3Q8B6J0	A0A0F6KF68	A0A094S0X6	A0A0H3I094	A0A4V7TR28	A0A1C5WAK4	A0A1S0ZRV5	H3RI51	A0A5C8HW62
Q1QYT1	A0A3S5BRR8	A0A0F7D4N8	A0A097B3T2	A0A0H3I518	A0A4Z0GSA5	A0A1C6FFI5	A0A1S9JN65	Q02XM9	A0A5D4N6A3
Q2K3Y7	A0A401X0U5	A0A0G3XAH2	A0A097B4D4	A0A0J2GTM8	A0A507SQ55	A0A1D2I476	A0A1U7FSV4	Q03CA4	A0A5J5IX56
Q2SZC2	A0A4R1VPW7	A0A0G4K5V8	A0A097BBW5	A0A0J5GKI1	A0A5B0K9H5	A0A1D7QRQ6	A0A1V2BKX4	Q0BFU0	A0A5M9GNA0
Q322L1	A0A5E4UX21	A0A0G8E9H9	A0A097EII2	A0A0J8YG57	A0A6G8KMN9	A0A1E1V4G3	A0A1V2G2A0	Q0S9A4	A0A5P2R1A9
Q32HC7	A0A5E4VDK7	A0A0G9F9Z2	A0A098AZ95	A0A0K2FD30	A0A7L8W587	A0A1E4WN60	A0A1X1EQ27	Q0SSJ0	A0A653ZME5
Q39JR1	A0A5E4VH34	A0A0G9G6Y5	A0A098CTU9	A0A0K4BVX5	A0A7Z8E313	A0A1E5GWX3	A0A1X3I371	Q0TAW0	A0A6H0H8A7
Q3K8M7	A0A5E4VPQ6	A0A0G9L939	A0A098F372	A0A0K5PFT3	A0A8B3RPY4	A0A1E7XCK1	A0A1X3IXW9	Q11C01	A0A6H0WMR4
Q3Z2S7	A0A5E4Z4T9	A0A0G9LEL5	A0A098F378	A0A0L0GNX9	A0A917JE89	A0A1E8B0W9	A0A1X3JCG8	Q13LX0	A0A6I3LB40
Q48IS7	A0A5E5BVE1	A0A0H0YAV3	A0A098F4D1	A0A0L1JQR9	A0A917UXT7	A0A1E8BGB4	A0A1X3JHT9	Q164K3	A0A6I6DYJ1
Q4ZTW1	A0A5E7Y9R3	A0A0H3I5A9	A0A098F4M0	A0A0L6HYM2	A0A9N7H7P0	A0A1E9ZXQ8	A0A1Z3N135	Q1ARR5	A0A6M4JQE9
Q62GY9	A0A5E7YVA7	A0A0H3KH20	A0A098FK22	A0A0L6XUI4	A0A9N8IHX7	A0A1F1G7N0	A0A212I432	Q1AVD3	A0A7G7UE93
Q65WJ1	A0A5E7ZC74	A0A0I4E6V0	A0A098FLI6	A0A0L6ZWK7	A0A9X0LY60	A0A1F2QVX1	A0A212IRW5	Q1AXG5	A0A7I8DXU9
Q83KP2	A0A5E7ZJQ0	A0A0J1HC44	A0A099F0W3	A0A0L7B0T9	A0A9X5R471	A0A1F2T0M8	A0A225U1D2	Q1BPL3	A0A7J5B0R4
Q87FK7	A0A5E7ZXL1	A0A0J1HME5	A0A099FCB7	A0A0L7CC42	D1NV91	A0A1F2U6G6	A0A233Y7D1	Q1BWN5	A0A853UD34
Q8XVS2	A0A653J1U9	A0A0J1JPY0	A0A099FFY8	A0A0L7D0T0	D4MYS7	A0A1F2V5H4	A0A241QLM3	Q1C1B8	A0A8B4RDC8
Q9K7C3	A0A653J8W6	A0A0J2E462	A0A099G409	A0A0L7Y380	U3GUH0	A0A1F3CTP7	A0A248K548	Q1CDJ0	A0A8E0VR82
S6V891	A0A653P5W6	A0A0J6EKN5	A0A099I1R3	A0A0M0I431	U7L8U0	A0A1F4A4N2	A0A265B3M1	Q1GHE5	A0A8E2R775
W0LJ32	A0A653VZI4	A0A0J8VE94	A0A099I1U2	A0A0M2G9F3	W9BEJ7	A0A1F4B2V3	A0A271UKA4	Q1J3P2	A0A9Q2LMG5
W0QH85	A0A653WGQ6	A0A0J8XZ25	A0A099I1Z5	A0A0M3D6X5	A0A011NA98	A0A1F4D6D3	A0A285AVA7	Q1M360	A0A9Q4EGR6
A0A014MAA3	A0A653WWL5	A0A0J9C6X8	A0A099I251	A0A0M3DCR2	A0A011NDK5	A0A1F9D127	A0A2A2MDP8	Q1M5X4	A0A9Q4EXM2
A0A014PYC2	A0A653YKR9	A0A0K0GE25	A0A099I2Y5	A0A0M4H1R6	A0A011P4C0	A0A1F9QIG8	A0A2A7T665	Q1R4I3	A0A9Q4HF42
A0A014Q7X5	A0A653YPF8	A0A0K1FFP8	A0A099I3Q1	A0A0M9VLG6	A0A011TY57	A0A1F9TXK2	A0A2A7U2A4	Q2K0S7	A8AKN8
A0A021X1P3	A0A653YZE1	A0A0K2E520	A0A099I4I3	A0A0N7A019	A0A014ND14	A0A1F9WCT5	A0A2B7LH04	Q2K204	A8HU78
A0A022FXG0	A0A653ZBQ0	A0A0K2FC00	A0A099I4J8	A0A0N8SIR1	A0A014Q2C6	A0A1F9WPJ1	A0A2C9NVC9	Q2SJ99	A8RRE8
A0A024E7T3	A0A654BEU2	A0A0K2J969	A0A099I4R5	A0A0N9I1J1	A0A024FF39	A0A1G3ZPX8	A0A2G4U6D5	Q2T8T6	F2Q965
A0A024E962	A0A654DKU2	A0A0K2JAU1	A0A099I4R6	A0A0P0DII6	A0A031IAX7	A0A1G6GZ29	A0A2H1EDL0	Q329G7	H3RJG8
A0A024P970	A0A654DPK0	A0A0K2M7Q4	A0A099I553	A0A0P0DM84	A0A063YVK5	A0A1H6VIM0	A0A2I5HMM1	Q398W2	Q6EVL4
A0A024PB74	A0A6T9Y641	A0A0K2MKT8	A0A099I6E5	A0A0P0QH08	A0A064C1A7	A0A1I4F1W0	A0A2I8SCH3	Q39GY8	V5U4Z2
A0A024QBW4	A0A6V7ELA7	A0A0K6BR23	A0A099I8A9	A0A0Q4DGP8	A0A066SU99	A0A1J5JFY2	A0A2J0PZ25	Q3JHZ1	V5YVR6
A0A024QE77	A0A7H1M874	A0A0K9G8Y9	A0A099I8C4	A0A0Q4F9H3	A0A066UA34	A0A1J6XE99	A0A2J4RER3	Q3K3R2	W9B5P6
A0A024YJ37	A0A7U3ZKS0	A0A0K9GAV4	A0A099I8X7	A0A0Q4NM56	A0A066UIH6	A0A1K1NMQ5	A0A2J5PLC5	Q3MB44	A0A066RJN6
A0A031FQG5	A0A7Z7J3U1	A0A0L0QS23	A0A099IC50	A0A0Q4UWU5	A0A069P6G8	A0A1L8QV68	A0A2K0JDG2	Q3YVK8	A0A069JBR7
A0A031G8A0	A0A920EHP7	A0A0L7XZK6	A0A099S2D9	A0A0Q5AKY3	A0A071LWY5	A0A1M4ERF2	A0A2K0PKM7	Q4QN44	A0A074JK44
A0A031GKS0	A0A9W5IPI4	A0A0M0G3U9	A0A099T681	A0A0Q5BC17	A0A071M8N7	A0A1M7YYA5	A0A2K1QE54	Q5KUX3	A0A075NAZ8
A0A031IU18	A0YBL1	A0A0M0KBV2	A0A099VY75	A0A0Q5BU72	A0A074IUR6	A0A1Q3ST77	A0A2K3TX21	Q5PJX5	A0A075ST82
A0A031IVY6	A2U4A2	A0A0M0KEV7	A0A099W8S8	A0A0Q5C9I1	A0A074IYT9	A0A1Q3W315	A0A2K9PE29	Q5WC31	A0A076F1I7
A0A031IW43	B2I5M1	A0A0M0LHU2	A0A099WNJ4	A0A0Q5EHW7	A0A075JU01	A0A1Q6RNJ1	A0A2M9W4Q5	Q62K91	A0A080N6D3
A0A059L3S2	B3PDN4	A0A0M0LLN7	A0A0A0EIA3	A0A0Q5FE15	A0A075LN87	A0A1Q7GFN5	A0A2N0W4C1	Q63FX9	A0A084JNF9
A0A060I1R2	B4STQ6	A0A0M1GKB2	A0A0A0NKL5	A0A0Q5JUU6	A0A075LPC2	A0A1Q7X0T0	A0A2N5EC06	Q63P06	A0A084JPU1
A0A060I5U2	B5EDN5	A0A0M1ISA9	A0A0A2TKI2	A0A0Q5KZE6	A0A075SHN5	A0A1Q7YIJ3	A0A2P8VFP7	Q65E55	A0A087ABG6
A0A061YI30	B8L854	A0A0M1IXG6	A0A0A2UY71	A0A0Q5LJ11	A0A075SK29	A0A1Q8EE36	A0A2R4D508	Q664G2	A0A087DP04
A0A063YV13	B9K0X4	A0A0M1IZL7	A0A0A5I5X1	A0A0Q5M2U9	A0A075SM61	A0A1Q8SQF0	A0A2R4NMF0	Q6HNE7	A0A087DX09
A0A066UE59	B9Z3Q7	A0A0M1P4W6	A0A0A5JHB4	A0A0Q5PPU0	A0A076Z019	A0A1Q8TUX0	A0A2S4RT01	Q6LH11	A0A089HSE2
A0A066UF24	C0ER76	A0A0M2F5D3	A0A0A6D2S3	A0A0Q6P7W7	A0A076Z0Y4	A0A1R4FV72	A0A2S4SP01	Q73DH7	A0A089PSD6
A0A068SYR2	C0G9D4	A0A0M2LTC8	A0A0A6QUG6	A0A0Q6PUX3	A0A077EHU2	A0A1S7D266	A0A2S5CCU3	Q7MEV1	A0A091BVM8
A0A068TF67	C0RKD0	A0A0M2PRT4	A0A0A6UFW1	A0A0Q6RNE8	A0A077HKB7	A0A1S7FSD2	A0A2S8DFS4	Q7NA79	A0A097QXZ4
A0A069IL32	C1DJ88	A0A0M2SHW0	A0A0A6VCK6	A0A0Q7GJE6	A0A081BKP6	A0A1S8L4L0	A0A2S8E3L3	Q7NTN6	A0A099I6V1
A0A069NY65	C3SWC7	A0A0M2SYT3	A0A0B0D1F2	A0A0Q7RUQ2	A0A081KGS2	A0A1S8STI2	A0A2T2Y0I7	Q81HW8	A0A099IAB2
A0A069NYY7	C4GL13	A0A0M3G2J7	A0A0B1RBM3	A0A0Q7VKL8	A0A081LAH3	A0A1T4PA59	A0A2T3RNE8	Q825P1	A0A099IBY5
A0A069P064	C4IUI5	A0A0M3G769	A0A0B2IH00	A0A0Q8AWU8	A0A081LD65	A0A1U9YG90	A0A2T7B0Y3	Q87H79	A0A0A6U6P1
A0A069PG58	C6M571	A0A0M3R8V4	A0A0B3BKR2	A0A0Q8CU21	A0A081LVS1	A0A1V0NF96	A0A2T8MF88	Q891M1	A0A0A6VGK4
A0A069PHG7	C6SFD2	A0A0M3RAB8	A0A0B3VNX6	A0A0Q8LRB8	A0A081PYB8	A0A1V4IZ50	A0A2T8RML0	Q8D7T7	A0A0B5QQE6
A0A069PKZ4	D2ZYW6	A0A0M4G0J4	A0A0B3W7X1	A0A0Q8UP04	A0A081Q6W1	A0A1V4SUA4	A0A2T8XHP0	Q8E281	A0A0C1KFM4
A0A069PQG2	D4T1B0	A0A0M4G1L4	A0A0B4BM88	A0A0Q9D8G9	A0A081Q780	A0A1V5K054	A0A2T9I039	Q8E7N9	A0A0C2ZSQ1
A0A069PZG0	D4ZHB4	A0A0M4SBS7	A0A0B4CU64	A0A0Q9IV55	A0A081Q8Q1	A0A1V5YDL8	A0A2T9Q7N4	Q8ENB3	A0A0C9Q812
A0A071LSN5	D4ZIJ6	A0A0M4SC21	A0A0B4EEP5	A0A0R9PAG4	A0A081QBF9	A0A1V5ZU03	A0A2X1MNA9	Q8FBS3	A0A0D1R567
A0A071M4F5	D4ZJV2	A0A0M9BNB9	A0A0B4S8N4	A0A0R9PSP2	A0A081QJS0	A0A1V6HX13	A0A2X2E8T0	Q8RD43	A0A0D5ZIZ4
A0A071M843	E0NAR5	A0A0N0C666	A0A0B5DB99	A0A0S2SBI0	A0A081QS64	A0A1V6JQZ8	A0A2X2WGW0	Q8XJX3	A0A0D6ZEX2
A0A071MB25	E6MVN2	A0A0P6VXN6	A0A0B5I4R4	A0A0S9DV83	A0A081SB85	A0A1W5ZSH3	A0A2Y0JG61	Q987E7	A0A0E1ELA7
A0A071MEP3	E6NSU6	A0A0P6WQM7	A0A0B5I6X0	A0A0S9KAM4	A0A084EV09	A0A1W6NAN7	A0A2Z3X2T8	Q98K15	A0A0E2Q0W0
A0A071MFY5	E7RZE7	A0A0P7FWY7	A0A0B5S464	A0A0S9PJ66	A0A084EVT1	A0A1W6VW45	A0A315G6U4	Q9CL63	A0A0F1XU97
A0A071MJG1	F0EYN3	A0A0P7XD58	A0A0B7JD23	A0A0S9QHE5	A0A084JKU2	A0A1W7ABP7	A0A315GUU6	Q9CP98	A0A0H0YNB3
A0A071MS54	F4D2F7	A0A0Q1DSX3	A0A0B7MH45	A0A0T2KR79	A0A084JNF8	A0A1X9MIU7	A0A318FZ54	Q9I2F6	A0A0H3EAD9
A0A071MWI6	F5IYP7	A0A0Q3QLB1	A0A0B9G1Y7	A0A0T6UFC1	A0A084JPT8	A0A1Y0CRU9	A0A329HKH6	Q9K6J9	A0A0H4QGU9
A0A073JCX0	F5S833	A0A0Q3TEX6	A0A0C1G1H8	A0A0T7FCU3	A0A084JPU0	A0A1Y0VNI1	A0A344SK80	X6F4N0	A0A0J1LQF4
A0A074LEB9	F7M570	A0A0Q3TSM5	A0A0C1H8A6	A0A0T7FY73	A0A084SF86	A0A1Y0WM37	A0A344SRY0	A0A011LVP2	A0A0J2GGZ7
