##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	taxid	species_taxid	organism_name	infraspecific_name	version_status	assembly_level	ftp_path	genome_size	genome_size_ungapped	gc_percent	total_gene_count	protein_coding_gene_count
GCA_001018835.2	PRJNA231221	SAMN03255458	1280	1280	Staphylococcus aureus	strain=NRS271	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/018/835/GCA_001018835.2_ASM101883v2	2879053	2879053	33.000000	2976	2793
GCA_001019305.2	PRJNA231221	SAMN03255448	1280	1280	Staphylococcus aureus	strain=NRS70	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/019/305/GCA_001019305.2_ASM101930v2	2814696	2814696	33.000000	2906	2738
GCA_001018735.2	PRJNA231221	SAMN03255451	1280	1280	Staphylococcus aureus	strain=NRS137	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/018/735/GCA_001018735.2_ASM101873v2	2725742	2725742	33.000000	2816	2667
GCA_000597965.1	PRJNA240093	SAMN02690781	1280	1280	Staphylococcus aureus	strain=502A	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/597/965/GCA_000597965.1_ASM59796v1	2787689	2787689	33.000000	2592	2500
GCA_001019205.2	PRJNA231221	SAMN03255487	1280	1280	Staphylococcus aureus	strain=FDAARGOS_48	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/019/205/GCA_001019205.2_ASM101920v2	2847351	2847351	33.000000	2986	2824
GCA_001019125.2	PRJNA231221	SAMN03255482	1280	1280	Staphylococcus aureus	strain=FDAARGOS_43	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/019/125/GCA_001019125.2_ASM101912v2	2820631	2820631	33.000000	2923	2768
GCA_001018805.2	PRJNA231221	SAMN03255454	1280	1280	Staphylococcus aureus	strain=FDAARGOS_15	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/018/805/GCA_001018805.2_ASM101880v2	2799899	2799899	33.000000	2936	2788
GCA_001018655.2	PRJNA231221	SAMN03255445	1280	1280	Staphylococcus aureus	strain=FDAARGOS_6	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/018/655/GCA_001018655.2_ASM101865v2	2759287	2759287	33.000000	2852	2697
GCA_001717685.3	PRJNA321116	SAMN04966145	1280	1280	Staphylococcus aureus	strain=1971.C01	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/685/GCA_001717685.3_ASM171768v3	2936259	2936259	32.500000	3088	2924
GCA_001018645.2	PRJNA231221	SAMN03255442	1280	1280	Staphylococcus aureus	strain=FDAARGOS_2	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/018/645/GCA_001018645.2_ASM101864v2	2809993	2809993	33.000000	2914	2758
GCA_000418345.1	PRJNA196937	SAMN02603524	1280	1280	Staphylococcus aureus	strain=Bmb9393	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/345/GCA_000418345.1_ASM41834v1	2983456	2983456	33.000000	2791	2692
GCA_001183725.2	PRJNA287791	SAMN03787340	1280	1280	Staphylococcus aureus	strain=USA300_2014.C02	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/725/GCA_001183725.2_ASM118372v2	2929153	2929153	32.500000	3071	2911
GCA_000695215.1	PRJNA246435	SAMN02767598	1280	1280	Staphylococcus aureus	strain=H-EMRSA-15	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/215/GCA_000695215.1_ASM69521v1	2846320	2846320	33.000000	2662	2563
GCA_000709475.1	PRJNA239544	SAMN02693431	1280	1280	Staphylococcus aureus	strain=XN108	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/475/GCA_000709475.1_ASM70947v1	3052055	3052055	33.000000	3064	2992
GCA_000746505.1	PRJNA240091	SAMN03290990	1280	1280	Staphylococcus aureus	strain=2395 USA500	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/505/GCA_000746505.1_ASM74650v1	2988052	2988052	33.000000	2836	2729
GCA_003073415.1	PRJNA451172	SAMN08963276	1280	1280	Staphylococcus aureus	strain=CAR	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/415/GCA_003073415.1_ASM307341v1	2829743	2829743	32.500000	0	0
GCA_003073715.1	PRJNA316321	SAMN07291554	1280	1280	Staphylococcus aureus	strain=AR461	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/715/GCA_003073715.1_ASM307371v1	2909586	2909586	33.000000	2839	2760
GCA_000815205.1	PRJNA268517	SAMN03251895	1280	1280	Staphylococcus aureus	strain=25b_MRSA	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/815/205/GCA_000815205.1_ASM81520v1	2872781	2872781	33.000000	2937	2845
GCA_000769575.1	PRJNA264181	SAMN03144721	1280	1280	Staphylococcus aureus	strain=Gv69	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/575/GCA_000769575.1_ASM76957v1	3046210	3046210	33.000000	2891	2759
GCA_003073435.1	PRJNA451172	SAMN08963307	1280	1280	Staphylococcus aureus	strain=OXLIM	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/435/GCA_003073435.1_ASM307343v1	2872769	2872769	33.000000	0	0
GCA_003073635.1	PRJNA316321	SAMN07291559	1280	1280	Staphylococcus aureus	strain=AR466	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/635/GCA_003073635.1_ASM307363v1	2810799	2810799	33.000000	2704	2625
GCA_003029645.1	PRJNA243331	SAMN08663439	1280	1280	Staphylococcus aureus	strain=CFSAN064038	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/029/645/GCA_003029645.1_ASM302964v1	2928160	2928160	33.000000	3036	2853
GCA_003031485.1	PRJNA378176	SAMN06480776	1280	1280	Staphylococcus aureus	strain=CC5	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/031/485/GCA_003031485.1_ASM303148v1	2745711	2745711	33.000000	2818	2655
GCA_000756205.1	PRJNA259557	SAMN03009478	1280	1280	Staphylococcus aureus	strain=ATCC 25923	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/205/GCA_000756205.1_ASM75620v1	2806345	2806345	33.000000	2817	2672
GCA_000815085.1	PRJNA268517	SAMN03251898	1280	1280	Staphylococcus aureus	strain=31b_MRSA	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/815/085/GCA_000815085.1_ASM81508v1	2872779	2872779	33.000000	2935	2843
GCA_000772025.1	PRJNA259937	SAMN03140315	1280	1280	Staphylococcus aureus	strain=FORC_001	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/025/GCA_000772025.1_ASM77202v1	2886017	2886017	33.000000	2709	2631
GCA_000815165.1	PRJNA268517	SAMN03251899	1280	1280	Staphylococcus aureus	strain=26b_MRSA	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/815/165/GCA_000815165.1_ASM81516v1	2872779	2872779	33.000000	2938	2846
GCA_000815245.1	PRJNA268517	SAMN03251896	1280	1280	Staphylococcus aureus	strain=27b_MRSA	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/815/245/GCA_000815245.1_ASM81524v1	2872771	2872771	33.000000	2935	2843
GCA_003203595.1	PRJNA316321	SAMN04901616	1280	1280	Staphylococcus aureus	strain=AR_0226	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/203/595/GCA_003203595.1_ASM320359v1	2907673	2907673	33.000000	2804	2725
GCA_000953255.1	PRJEB6577	SAMEA2743223	1280	1280	Staphylococcus aureus	strain=ILRI_Eymole1/1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/255/GCA_000953255.1_Staphylococcus_aureus_Sa_ILRI_217	2874302	2874302	33.000000	na	na
GCA_003193665.1	PRJNA316321	SAMN07291565	1280	1280	Staphylococcus aureus	strain=AR_0472	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/193/665/GCA_003193665.1_ASM319366v1	2836912	2836912	33.000000	2714	2636
GCA_003193745.1	PRJNA316321	SAMN07291563	1280	1280	Staphylococcus aureus	strain=AR_0470	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/193/745/GCA_003193745.1_ASM319374v1	2963657	2963657	33.000000	2852	2774
GCA_003193765.1	PRJNA316321	SAMN07291564	1280	1280	Staphylococcus aureus	strain=AR_0471	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/193/765/GCA_003193765.1_ASM319376v1	2833993	2833993	33.000000	2736	2657
GCA_003264815.1	PRJNA438472	SAMN08717048	1280	1280	Staphylococcus aureus	strain=CMRSA-6	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/264/815/GCA_003264815.1_ASM326481v1	3044721	3044721	33.000000	3216	3037
GCA_002097595.2	PRJNA319679	SAMN04903357	1280	1280	Staphylococcus aureus	strain=M92	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/097/595/GCA_002097595.2_ASM209759v2	3038845	3038845	33.000000	3214	3037
GCA_003193725.1	PRJNA316321	SAMN04901606	1280	1280	Staphylococcus aureus	strain=AR_0216	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/193/725/GCA_003193725.1_ASM319372v1	2951261	2951261	33.000000	2876	2797
GCA_003194025.1	PRJNA316321	SAMN04901605	1280	1280	Staphylococcus aureus	strain=AR_0215	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/194/025/GCA_003194025.1_ASM319402v1	2937397	2937397	33.000000	2856	2777
GCA_003264775.1	PRJNA438470	SAMN08717045	1280	1280	Staphylococcus aureus	strain=CMRSA-3	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/264/775/GCA_003264775.1_ASM326477v1	2958212	2958212	33.000000	3122	2947
GCA_003184985.1	PRJNA435512	SAMN08580535	1280	1280	Staphylococcus aureus	strain=IT1-S	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/985/GCA_003184985.1_ASM318498v1	2808627	2808627	33.000000	2895	2697
GCA_003185005.1	PRJNA435575	SAMN08580907	1280	1280	Staphylococcus aureus	strain=IT4-R	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/185/005/GCA_003185005.1_ASM318500v1	2808627	2808627	33.000000	2895	2697
GCA_003186105.1	PRJNA472941	SAMN09254008	1280	1280	Staphylococcus aureus	strain=MOK063	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/186/105/GCA_003186105.1_ASM318610v1	2808798	2808798	33.000000	2907	2722
GCA_001021875.1	PRJNA246311	SAMN02746692	1280	1280	Staphylococcus aureus	strain=M121	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/875/GCA_001021875.1_ASM102187v1	2916552	2916552	33.000000	2759	2641
GCA_002089035.2	PRJNA362943	SAMN06251153	1280	1280	Staphylococcus aureus	strain=293G	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/089/035/GCA_002089035.2_ASM208903v2	2722374	2722374	33.000000	2775	2602
GCA_002089115.2	PRJNA368957	SAMN06274093	1280	1280	Staphylococcus aureus	strain=GD1539	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/089/115/GCA_002089115.2_ASM208911v2	2793232	2793232	33.000000	2887	2716
GCA_900324245.1	PRJEB25220	SAMEA104710492	1280	1280	Staphylococcus aureus	na	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/324/245/GCA_900324245.1_8_LA_272	2891536	2891536	33.000000	0	0
GCA_900324265.1	PRJEB25220	SAMEA104710493	1280	1280	Staphylococcus aureus	na	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/324/265/GCA_900324265.1_9_LA_281	2906460	2906460	33.000000	0	0
GCA_900324305.1	PRJEB25220	SAMEA104710497	1280	1280	Staphylococcus aureus	na	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/324/305/GCA_900324305.1_13_LA_301	2854964	2854964	33.000000	0	0
GCA_900324325.1	PRJEB25220	SAMEA104710498	1280	1280	Staphylococcus aureus	na	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/324/325/GCA_900324325.1_14_5418	2868774	2868774	33.000000	0	0
GCA_900324365.1	PRJEB25220	SAMEA104710503	1280	1280	Staphylococcus aureus	na	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/324/365/GCA_900324365.1_19_LA_388	2862001	2862001	33.000000	0	0
GCA_900324385.1	PRJEB25220	SAMEA104710504	1280	1280	Staphylococcus aureus	na	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/324/385/GCA_900324385.1_20_LA_415	2904888	2904888	33.000000	0	0
GCA_000969225.1	PRJNA279236	SAMN03444404	1280	1280	Staphylococcus aureus	strain=FCFHV36	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/225/GCA_000969225.1_ASM96922v1	2849811	2849811	33.000000	2700	2619
GCA_001027105.1	PRJNA283471	SAMN03651231	1280	1280	Staphylococcus aureus	strain=DSM 20231	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/105/GCA_001027105.1_ASM102710v1	2782562	2782562	33.000000	2831	2734
GCA_001027045.1	PRJNA284222	SAMN03699895	1280	1280	Staphylococcus aureus	strain=RKI4	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/045/GCA_001027045.1_ASM102704v1	2743559	2743559	33.000000	2784	2618
GCA_003351925.1	PRJNA395485	SAMN07407571	1280	1280	Staphylococcus aureus	strain=FORC_062	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/351/925/GCA_003351925.1_ASM335192v1	2905353	2905353	33.000000	2798	2722
GCA_001021895.1	PRJNA246386	SAMN02767179	1280	1280	Staphylococcus aureus	strain=CA15	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/895/GCA_001021895.1_ASM102189v1	2864278	2864278	33.000000	2676	2567
GCA_001278745.1	PRJNA294307	SAMN03093451	1280	1280	Staphylococcus aureus	strain=HOU1444-VR	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/278/745/GCA_001278745.1_ASM127874v1	2893726	2893726	33.000000	2959	2823
GCA_003431365.1	PRJNA480016	SAMN09847825	1280	1280	Staphylococcus aureus	strain=CFBR-105	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/431/365/GCA_003431365.1_ASM343136v1	2782740	2782740	33.000000	2858	2694
GCA_001281145.1	PRJNA270620	SAMN03267711	1280	1280	Staphylococcus aureus	strain=SA564	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/145/GCA_001281145.1_ASM128114v1	2810810	2810810	33.000000	2846	2732
GCA_001307235.1	PRJNA287201	SAMN03777299	1280	1280	Staphylococcus aureus	strain=JS395	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/235/GCA_001307235.1_ASM130723v1	2889613	2889613	33.000000	2882	2708
GCA_003609915.1	PRJDB6169	SAMD00089953	1280	1280	Staphylococcus aureus	strain=GN1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/915/GCA_003609915.1_ASM360991v1	2809565	2809565	33.000000	0	0
GCA_003595365.1	PRJNA312385	SAMN04497595	1280	1280	Staphylococcus aureus	strain=USA300-SUR1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/595/365/GCA_003595365.1_ASM359536v1	2935151	2935151	33.000000	3037	2927
GCA_003595465.1	PRJNA312385	SAMN04497600	1280	1280	Staphylococcus aureus	strain=USA300-SUR6	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/595/465/GCA_003595465.1_ASM359546v1	2949912	2949912	33.000000	3050	2942
GCA_003595445.1	PRJNA312385	SAMN04497599	1280	1280	Staphylococcus aureus	strain=USA300-SUR5	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/595/445/GCA_003595445.1_ASM359544v1	2953985	2953985	33.000000	3053	2939
GCA_003573855.1	PRJDB7266	SAMD00134450	1280	1280	Staphylococcus aureus	strain=JMUB1273	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/573/855/GCA_003573855.1_ASM357385v1	2733771	2733771	33.000000	2640	2562
GCA_001046095.2	PRJNA246185	SAMN02743812	1280	1280	Staphylococcus aureus	strain=V2200	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/046/095/GCA_001046095.2_ASM104609v2	2874372	2874372	33.000000	2683	2571
GCA_001465755.1	PRJNA305475	SAMN04325940	1280	1280	Staphylococcus aureus	strain=RIVM3897	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/755/GCA_001465755.1_ASM146575v1	2894543	2894543	33.000000	2913	2771
GCA_001549655.1	PRJDB3193	SAMD00020283	1280	1280	Staphylococcus aureus	strain=TMUS2126	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/655/GCA_001549655.1_ASM154965v1	2770164	2770164	33.000000	2800	2724
GCA_001515745.1	PRJNA288685	SAMN03835492	1280	1280	Staphylococcus aureus	strain=HC1340	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/745/GCA_001515745.1_ASM151574v1	3046545	3046545	33.000000	2949	2866
GCA_001548415.1	PRJDB4467	SAMD00044982	1280	1280	Staphylococcus aureus	strain=MI	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/415/GCA_001548415.1_ASM154841v1	2916350	2916350	33.000000	2818	2746
GCA_001580495.1	PRJNA277068	SAMN03387935	1280	1280	Staphylococcus aureus	strain=FORC_012	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/580/495/GCA_001580495.1_ASM158049v1	2815416	2815416	33.000000	2657	2579
GCA_001580515.1	PRJNA273427	SAMN04254471	1280	1280	Staphylococcus aureus	strain=UTSW MRSA 55	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/580/515/GCA_001580515.1_ASM158051v1	3039792	3039792	32.500000	3115	2948
GCA_001444345.1	PRJNA301649	SAMN04253017	1280	1280	Staphylococcus aureus	strain=XQ	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/444/345/GCA_001444345.1_ASM144434v1	2803594	2803594	33.000000	2862	2639
GCA_001465675.1	PRJNA305475	SAMN04325938	1280	1280	Staphylococcus aureus	strain=RIVM1607	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/675/GCA_001465675.1_ASM146567v1	2771015	2771015	33.000000	2743	2609
GCA_001515705.1	PRJNA288682	SAMN03835488	1280	1280	Staphylococcus aureus	strain=Gv88	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/705/GCA_001515705.1_ASM151570v1	2990923	2990923	33.000000	2941	2872
GCA_001465635.1	PRJNA305475	SAMN04325935	1280	1280	Staphylococcus aureus	strain=RIVM1295	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/635/GCA_001465635.1_ASM146563v1	2782487	2782487	33.000000	2778	2632
GCA_001515665.1	PRJNA288680	SAMN03835466	1280	1280	Staphylococcus aureus	strain=Gv51	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/665/GCA_001515665.1_ASM151566v1	2990027	2990027	33.000000	2987	2914
GCA_001515685.1	PRJNA286121	SAMN03765155	1280	1280	Staphylococcus aureus	strain=Be62	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/685/GCA_001515685.1_ASM151568v1	3001237	3001237	33.000000	2955	2855
GCA_001515765.1	PRJNA288686	SAMN03835494	1280	1280	Staphylococcus aureus	strain=HC1335	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/765/GCA_001515765.1_ASM151576v1	2976370	2976370	33.000000	2779	2670
GCA_001548295.1	PRJDB4160	SAMD00039082	1280	1280	Staphylococcus aureus	strain=FDA209P	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/295/GCA_001548295.1_ASM154829v1	2803223	2803223	33.000000	2678	2602
GCA_001549675.1	PRJDB3193	SAMD00020284	1280	1280	Staphylococcus aureus	strain=TMUS2134	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/675/GCA_001549675.1_ASM154967v1	2770164	2770164	33.000000	2800	2724
GCA_003945425.1	PRJDB7606	SAMD00148193	1280	1280	Staphylococcus aureus	strain=TUM9463	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/945/425/GCA_003945425.1_ASM394542v1	3066291	3066291	33.000000	0	0
GCA_001594205.1	PRJNA39571	SAMN02953006	1280	1280	Staphylococcus aureus	strain=MCRF184	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/205/GCA_001594205.1_ASM159420v1	2664662	2664662	33.000000	2569	2490
GCA_001611345.1	PRJNA298754	SAMN04166543	1280	1280	Staphylococcus aureus	strain=ST20130941	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/345/GCA_001611345.1_ASM161134v1	2678881	2678881	33.000000	2606	2519
GCA_001611365.1	PRJNA298756	SAMN04166544	1280	1280	Staphylococcus aureus	strain=ST20130942	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/365/GCA_001611365.1_ASM161136v1	2767129	2767129	33.000000	2725	2645
GCA_001611325.1	PRJNA298753	SAMN04166494	1280	1280	Staphylococcus aureus	strain=ST20130940	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/325/GCA_001611325.1_ASM161132v1	2700362	2700362	33.000000	2630	2544
GCA_001611425.1	PRJNA298748	SAMN04166389	1280	1280	Staphylococcus aureus	strain=ST20130939	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/425/GCA_001611425.1_ASM161142v1	2746829	2746829	33.000000	2701	2616
GCA_001640905.1	PRJNA300829	SAMN04219574	1280	1280	Staphylococcus aureus	strain=NCCP14558	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/905/GCA_001640905.1_ASM164090v1	2979876	2979876	33.000000	3043	2886
GCA_001640925.1	PRJNA300829	SAMN03955396	1280	1280	Staphylococcus aureus	strain=NCCP14562	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/925/GCA_001640925.1_ASM164092v1	2935598	2935598	33.000000	2972	2838
GCA_003944865.1	PRJNA437499	SAMN08663763	1280	1280	Staphylococcus aureus	strain=80wphwpl	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/944/865/GCA_003944865.1_ASM394486v1	2714208	2714208	33.000000	2740	2564
GCA_900635285.1	PRJEB6403	SAMEA3491715	1280	1280	Staphylococcus aureus	strain=NCTC7121	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/285/GCA_900635285.1_40677_B02	2835265	2835265	33.000000	2694	2617
