"Genome"	"Sugar"	"Category"	"Transporter_Count"
"GCA_000011505.1_ASM1150v1"	"arabinose_transporters"	"MRSA"	23
"GCA_000011505.1_ASM1150v1"	"galactose_transporters"	"MRSA"	2
"GCA_000011505.1_ASM1150v1"	"glucose_transporters"	"MRSA"	20
"GCA_000011505.1_ASM1150v1"	"lactose_transporters"	"MRSA"	11
"GCA_000011505.1_ASM1150v1"	"mannitol_transporters"	"MRSA"	45
"GCA_000011505.1_ASM1150v1"	"mannose_transporters"	"MRSA"	8
"GCA_000011505.1_ASM1150v1"	"polysia_transporters"	"MRSA"	3
"GCA_000011505.1_ASM1150v1"	"ribose_transporters"	"MRSA"	21
"GCA_000011505.1_ASM1150v1"	"sia_transporters"	"MRSA"	6
"GCA_000011505.1_ASM1150v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000011525.1_ASM1152v1"	"arabinose_transporters"	"MRSA"	22
"GCA_000011525.1_ASM1152v1"	"galactose_transporters"	"MRSA"	2
"GCA_000011525.1_ASM1152v1"	"glucose_transporters"	"MRSA"	19
"GCA_000011525.1_ASM1152v1"	"lactose_transporters"	"MRSA"	4
"GCA_000011525.1_ASM1152v1"	"mannitol_transporters"	"MRSA"	46
"GCA_000011525.1_ASM1152v1"	"mannose_transporters"	"MRSA"	8
"GCA_000011525.1_ASM1152v1"	"polysia_transporters"	"MRSA"	3
"GCA_000011525.1_ASM1152v1"	"ribose_transporters"	"MRSA"	23
"GCA_000011525.1_ASM1152v1"	"sia_transporters"	"MRSA"	5
"GCA_000011525.1_ASM1152v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000013425.1_ASM1342v1"	"arabinose_transporters"	"MSSA"	21
"GCA_000013425.1_ASM1342v1"	"galactose_transporters"	"MSSA"	2
"GCA_000013425.1_ASM1342v1"	"glucose_transporters"	"MSSA"	19
"GCA_000013425.1_ASM1342v1"	"lactose_transporters"	"MSSA"	4
"GCA_000013425.1_ASM1342v1"	"mannitol_transporters"	"MSSA"	42
"GCA_000013425.1_ASM1342v1"	"mannose_transporters"	"MSSA"	8
"GCA_000013425.1_ASM1342v1"	"polysia_transporters"	"MSSA"	3
"GCA_000013425.1_ASM1342v1"	"ribose_transporters"	"MSSA"	24
"GCA_000013425.1_ASM1342v1"	"sia_transporters"	"MSSA"	5
"GCA_000013425.1_ASM1342v1"	"sucrose_transporters"	"MSSA"	4
"GCA_000016805.1_ASM1680v1"	"arabinose_transporters"	"MRSA"	22
"GCA_000016805.1_ASM1680v1"	"galactose_transporters"	"MRSA"	2
"GCA_000016805.1_ASM1680v1"	"glucose_transporters"	"MRSA"	20
"GCA_000016805.1_ASM1680v1"	"lactose_transporters"	"MRSA"	6
"GCA_000016805.1_ASM1680v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000016805.1_ASM1680v1"	"mannose_transporters"	"MRSA"	8
"GCA_000016805.1_ASM1680v1"	"polysia_transporters"	"MRSA"	3
"GCA_000016805.1_ASM1680v1"	"ribose_transporters"	"MRSA"	23
"GCA_000016805.1_ASM1680v1"	"sia_transporters"	"MRSA"	5
"GCA_000016805.1_ASM1680v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000017085.1_ASM1708v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000017085.1_ASM1708v1"	"galactose_transporters"	"MRSA"	2
"GCA_000017085.1_ASM1708v1"	"glucose_transporters"	"MRSA"	19
"GCA_000017085.1_ASM1708v1"	"lactose_transporters"	"MRSA"	6
"GCA_000017085.1_ASM1708v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000017085.1_ASM1708v1"	"mannose_transporters"	"MRSA"	8
"GCA_000017085.1_ASM1708v1"	"polysia_transporters"	"MRSA"	3
"GCA_000017085.1_ASM1708v1"	"ribose_transporters"	"MRSA"	26
"GCA_000017085.1_ASM1708v1"	"sia_transporters"	"MRSA"	5
"GCA_000017085.1_ASM1708v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000027045.1_ASM2704v1"	"arabinose_transporters"	"MRSA"	22
"GCA_000027045.1_ASM2704v1"	"galactose_transporters"	"MRSA"	2
"GCA_000027045.1_ASM2704v1"	"glucose_transporters"	"MRSA"	19
"GCA_000027045.1_ASM2704v1"	"lactose_transporters"	"MRSA"	4
"GCA_000027045.1_ASM2704v1"	"mannitol_transporters"	"MRSA"	42
"GCA_000027045.1_ASM2704v1"	"mannose_transporters"	"MRSA"	8
"GCA_000027045.1_ASM2704v1"	"polysia_transporters"	"MRSA"	3
"GCA_000027045.1_ASM2704v1"	"ribose_transporters"	"MRSA"	24
"GCA_000027045.1_ASM2704v1"	"sia_transporters"	"MRSA"	6
"GCA_000027045.1_ASM2704v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000159535.2_ASM15953v2"	"arabinose_transporters"	"MRSA"	24
"GCA_000159535.2_ASM15953v2"	"galactose_transporters"	"MRSA"	2
"GCA_000159535.2_ASM15953v2"	"glucose_transporters"	"MRSA"	20
"GCA_000159535.2_ASM15953v2"	"lactose_transporters"	"MRSA"	7
"GCA_000159535.2_ASM15953v2"	"mannitol_transporters"	"MRSA"	44
"GCA_000159535.2_ASM15953v2"	"mannose_transporters"	"MRSA"	8
"GCA_000159535.2_ASM15953v2"	"polysia_transporters"	"MRSA"	3
"GCA_000159535.2_ASM15953v2"	"ribose_transporters"	"MRSA"	21
"GCA_000159535.2_ASM15953v2"	"sia_transporters"	"MRSA"	5
"GCA_000159535.2_ASM15953v2"	"sucrose_transporters"	"MRSA"	3
"GCA_000160335.2_ASM16033v2"	"arabinose_transporters"	"MRSA"	23
"GCA_000160335.2_ASM16033v2"	"galactose_transporters"	"MRSA"	2
"GCA_000160335.2_ASM16033v2"	"glucose_transporters"	"MRSA"	19
"GCA_000160335.2_ASM16033v2"	"lactose_transporters"	"MRSA"	8
"GCA_000160335.2_ASM16033v2"	"mannitol_transporters"	"MRSA"	43
"GCA_000160335.2_ASM16033v2"	"mannose_transporters"	"MRSA"	8
"GCA_000160335.2_ASM16033v2"	"polysia_transporters"	"MRSA"	3
"GCA_000160335.2_ASM16033v2"	"ribose_transporters"	"MRSA"	22
"GCA_000160335.2_ASM16033v2"	"sia_transporters"	"MRSA"	6
"GCA_000160335.2_ASM16033v2"	"sucrose_transporters"	"MRSA"	3
"GCA_000189455.3_ASM18945v3"	"arabinose_transporters"	"MSSA"	19
"GCA_000189455.3_ASM18945v3"	"galactose_transporters"	"MSSA"	2
"GCA_000189455.3_ASM18945v3"	"glucose_transporters"	"MSSA"	22
"GCA_000189455.3_ASM18945v3"	"lactose_transporters"	"MSSA"	6
"GCA_000189455.3_ASM18945v3"	"mannitol_transporters"	"MSSA"	47
"GCA_000189455.3_ASM18945v3"	"mannose_transporters"	"MSSA"	8
"GCA_000189455.3_ASM18945v3"	"polysia_transporters"	"MSSA"	3
"GCA_000189455.3_ASM18945v3"	"ribose_transporters"	"MSSA"	24
"GCA_000189455.3_ASM18945v3"	"sia_transporters"	"MSSA"	5
"GCA_000189455.3_ASM18945v3"	"sucrose_transporters"	"MSSA"	3
"GCA_000204665.1_ASM20466v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000204665.1_ASM20466v1"	"galactose_transporters"	"MRSA"	2
"GCA_000204665.1_ASM20466v1"	"glucose_transporters"	"MRSA"	18
"GCA_000204665.1_ASM20466v1"	"lactose_transporters"	"MRSA"	4
"GCA_000204665.1_ASM20466v1"	"mannitol_transporters"	"MRSA"	42
"GCA_000204665.1_ASM20466v1"	"mannose_transporters"	"MRSA"	8
"GCA_000204665.1_ASM20466v1"	"polysia_transporters"	"MRSA"	3
"GCA_000204665.1_ASM20466v1"	"ribose_transporters"	"MRSA"	24
"GCA_000204665.1_ASM20466v1"	"sia_transporters"	"MRSA"	6
"GCA_000204665.1_ASM20466v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000210315.1_ASM21031v1"	"arabinose_transporters"	"MSSA"	21
"GCA_000210315.1_ASM21031v1"	"galactose_transporters"	"MSSA"	1
"GCA_000210315.1_ASM21031v1"	"glucose_transporters"	"MSSA"	21
"GCA_000210315.1_ASM21031v1"	"lactose_transporters"	"MSSA"	11
"GCA_000210315.1_ASM21031v1"	"mannitol_transporters"	"MSSA"	43
"GCA_000210315.1_ASM21031v1"	"mannose_transporters"	"MSSA"	8
"GCA_000210315.1_ASM21031v1"	"polysia_transporters"	"MSSA"	3
"GCA_000210315.1_ASM21031v1"	"ribose_transporters"	"MSSA"	24
"GCA_000210315.1_ASM21031v1"	"sia_transporters"	"MSSA"	4
"GCA_000210315.1_ASM21031v1"	"sucrose_transporters"	"MSSA"	3
"GCA_000237125.3_ASM23712v3"	"arabinose_transporters"	"MRSA"	21
"GCA_000237125.3_ASM23712v3"	"galactose_transporters"	"MRSA"	2
"GCA_000237125.3_ASM23712v3"	"glucose_transporters"	"MRSA"	19
"GCA_000237125.3_ASM23712v3"	"lactose_transporters"	"MRSA"	5
"GCA_000237125.3_ASM23712v3"	"mannitol_transporters"	"MRSA"	41
"GCA_000237125.3_ASM23712v3"	"mannose_transporters"	"MRSA"	8
"GCA_000237125.3_ASM23712v3"	"polysia_transporters"	"MRSA"	3
"GCA_000237125.3_ASM23712v3"	"ribose_transporters"	"MRSA"	23
"GCA_000237125.3_ASM23712v3"	"sia_transporters"	"MRSA"	6
"GCA_000237125.3_ASM23712v3"	"sucrose_transporters"	"MRSA"	3
"GCA_000245495.1_ASM24549v1"	"arabinose_transporters"	"MSSA"	21
"GCA_000245495.1_ASM24549v1"	"galactose_transporters"	"MSSA"	2
"GCA_000245495.1_ASM24549v1"	"glucose_transporters"	"MSSA"	19
"GCA_000245495.1_ASM24549v1"	"lactose_transporters"	"MSSA"	4
"GCA_000245495.1_ASM24549v1"	"mannitol_transporters"	"MSSA"	42
"GCA_000245495.1_ASM24549v1"	"mannose_transporters"	"MSSA"	8
"GCA_000245495.1_ASM24549v1"	"polysia_transporters"	"MSSA"	3
"GCA_000245495.1_ASM24549v1"	"ribose_transporters"	"MSSA"	24
"GCA_000245495.1_ASM24549v1"	"sia_transporters"	"MSSA"	5
"GCA_000245495.1_ASM24549v1"	"sucrose_transporters"	"MSSA"	3
"GCA_000253135.1_ASM25313v1"	"arabinose_transporters"	"MRSA"	22
"GCA_000253135.1_ASM25313v1"	"galactose_transporters"	"MRSA"	2
"GCA_000253135.1_ASM25313v1"	"glucose_transporters"	"MRSA"	20
"GCA_000253135.1_ASM25313v1"	"lactose_transporters"	"MRSA"	5
"GCA_000253135.1_ASM25313v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000253135.1_ASM25313v1"	"mannose_transporters"	"MRSA"	8
"GCA_000253135.1_ASM25313v1"	"polysia_transporters"	"MRSA"	3
"GCA_000253135.1_ASM25313v1"	"ribose_transporters"	"MRSA"	23
"GCA_000253135.1_ASM25313v1"	"sia_transporters"	"MRSA"	5
"GCA_000253135.1_ASM25313v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000382965.1_ASM38296v1"	"arabinose_transporters"	"MRSA"	22
"GCA_000382965.1_ASM38296v1"	"galactose_transporters"	"MRSA"	2
"GCA_000382965.1_ASM38296v1"	"glucose_transporters"	"MRSA"	19
"GCA_000382965.1_ASM38296v1"	"lactose_transporters"	"MRSA"	5
"GCA_000382965.1_ASM38296v1"	"mannitol_transporters"	"MRSA"	45
"GCA_000382965.1_ASM38296v1"	"mannose_transporters"	"MRSA"	8
"GCA_000382965.1_ASM38296v1"	"polysia_transporters"	"MRSA"	3
"GCA_000382965.1_ASM38296v1"	"ribose_transporters"	"MRSA"	23
"GCA_000382965.1_ASM38296v1"	"sia_transporters"	"MRSA"	5
"GCA_000382965.1_ASM38296v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000382985.1_ASM38298v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000382985.1_ASM38298v1"	"galactose_transporters"	"MRSA"	2
"GCA_000382985.1_ASM38298v1"	"glucose_transporters"	"MRSA"	19
"GCA_000382985.1_ASM38298v1"	"lactose_transporters"	"MRSA"	5
"GCA_000382985.1_ASM38298v1"	"mannitol_transporters"	"MRSA"	45
"GCA_000382985.1_ASM38298v1"	"mannose_transporters"	"MRSA"	8
"GCA_000382985.1_ASM38298v1"	"polysia_transporters"	"MRSA"	3
"GCA_000382985.1_ASM38298v1"	"ribose_transporters"	"MRSA"	23
"GCA_000382985.1_ASM38298v1"	"sia_transporters"	"MRSA"	5
"GCA_000382985.1_ASM38298v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000412775.1_ASM41277v1"	"arabinose_transporters"	"MRSA"	23
"GCA_000412775.1_ASM41277v1"	"galactose_transporters"	"MRSA"	2
"GCA_000412775.1_ASM41277v1"	"glucose_transporters"	"MRSA"	22
"GCA_000412775.1_ASM41277v1"	"lactose_transporters"	"MRSA"	10
"GCA_000412775.1_ASM41277v1"	"mannitol_transporters"	"MRSA"	43
"GCA_000412775.1_ASM41277v1"	"mannose_transporters"	"MRSA"	8
"GCA_000412775.1_ASM41277v1"	"polysia_transporters"	"MRSA"	3
"GCA_000412775.1_ASM41277v1"	"ribose_transporters"	"MRSA"	21
"GCA_000412775.1_ASM41277v1"	"sia_transporters"	"MRSA"	4
"GCA_000412775.1_ASM41277v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000418345.1_ASM41834v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000418345.1_ASM41834v1"	"galactose_transporters"	"MRSA"	2
"GCA_000418345.1_ASM41834v1"	"glucose_transporters"	"MRSA"	19
"GCA_000418345.1_ASM41834v1"	"lactose_transporters"	"MRSA"	5
"GCA_000418345.1_ASM41834v1"	"mannitol_transporters"	"MRSA"	42
"GCA_000418345.1_ASM41834v1"	"mannose_transporters"	"MRSA"	8
"GCA_000418345.1_ASM41834v1"	"polysia_transporters"	"MRSA"	3
"GCA_000418345.1_ASM41834v1"	"ribose_transporters"	"MRSA"	24
"GCA_000418345.1_ASM41834v1"	"sia_transporters"	"MRSA"	5
"GCA_000418345.1_ASM41834v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000452385.2_ASM45238v2"	"arabinose_transporters"	"MSSA"	23
"GCA_000452385.2_ASM45238v2"	"galactose_transporters"	"MSSA"	2
"GCA_000452385.2_ASM45238v2"	"glucose_transporters"	"MSSA"	20
"GCA_000452385.2_ASM45238v2"	"lactose_transporters"	"MSSA"	5
"GCA_000452385.2_ASM45238v2"	"mannitol_transporters"	"MSSA"	43
"GCA_000452385.2_ASM45238v2"	"mannose_transporters"	"MSSA"	8
"GCA_000452385.2_ASM45238v2"	"polysia_transporters"	"MSSA"	3
"GCA_000452385.2_ASM45238v2"	"ribose_transporters"	"MSSA"	21
"GCA_000452385.2_ASM45238v2"	"sia_transporters"	"MSSA"	5
"GCA_000452385.2_ASM45238v2"	"sucrose_transporters"	"MSSA"	3
"GCA_000463055.1_ASM46305v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000463055.1_ASM46305v1"	"galactose_transporters"	"MRSA"	2
"GCA_000463055.1_ASM46305v1"	"glucose_transporters"	"MRSA"	19
"GCA_000463055.1_ASM46305v1"	"lactose_transporters"	"MRSA"	4
"GCA_000463055.1_ASM46305v1"	"mannitol_transporters"	"MRSA"	42
"GCA_000463055.1_ASM46305v1"	"mannose_transporters"	"MRSA"	8
"GCA_000463055.1_ASM46305v1"	"polysia_transporters"	"MRSA"	3
"GCA_000463055.1_ASM46305v1"	"ribose_transporters"	"MRSA"	23
"GCA_000463055.1_ASM46305v1"	"sia_transporters"	"MRSA"	5
"GCA_000463055.1_ASM46305v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000470845.1_ASM47084v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000470845.1_ASM47084v1"	"galactose_transporters"	"MRSA"	2
"GCA_000470845.1_ASM47084v1"	"glucose_transporters"	"MRSA"	19
"GCA_000470845.1_ASM47084v1"	"lactose_transporters"	"MRSA"	5
"GCA_000470845.1_ASM47084v1"	"mannitol_transporters"	"MRSA"	41
"GCA_000470845.1_ASM47084v1"	"mannose_transporters"	"MRSA"	8
"GCA_000470845.1_ASM47084v1"	"polysia_transporters"	"MRSA"	3
"GCA_000470845.1_ASM47084v1"	"ribose_transporters"	"MRSA"	23
"GCA_000470845.1_ASM47084v1"	"sia_transporters"	"MRSA"	5
"GCA_000470845.1_ASM47084v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000485885.1_ASM48588v1"	"arabinose_transporters"	"MRSA"	22
"GCA_000485885.1_ASM48588v1"	"galactose_transporters"	"MRSA"	2
"GCA_000485885.1_ASM48588v1"	"glucose_transporters"	"MRSA"	19
"GCA_000485885.1_ASM48588v1"	"lactose_transporters"	"MRSA"	4
"GCA_000485885.1_ASM48588v1"	"mannitol_transporters"	"MRSA"	42
"GCA_000485885.1_ASM48588v1"	"mannose_transporters"	"MRSA"	8
"GCA_000485885.1_ASM48588v1"	"polysia_transporters"	"MRSA"	3
"GCA_000485885.1_ASM48588v1"	"ribose_transporters"	"MRSA"	24
"GCA_000485885.1_ASM48588v1"	"sia_transporters"	"MRSA"	7
"GCA_000485885.1_ASM48588v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000568455.1_ASM56845v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000568455.1_ASM56845v1"	"galactose_transporters"	"MRSA"	2
"GCA_000568455.1_ASM56845v1"	"glucose_transporters"	"MRSA"	19
"GCA_000568455.1_ASM56845v1"	"lactose_transporters"	"MRSA"	6
"GCA_000568455.1_ASM56845v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000568455.1_ASM56845v1"	"mannose_transporters"	"MRSA"	8
"GCA_000568455.1_ASM56845v1"	"polysia_transporters"	"MRSA"	3
"GCA_000568455.1_ASM56845v1"	"ribose_transporters"	"MRSA"	26
"GCA_000568455.1_ASM56845v1"	"sia_transporters"	"MRSA"	5
"GCA_000568455.1_ASM56845v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000695215.1_ASM69521v1"	"arabinose_transporters"	"MRSA"	24
"GCA_000695215.1_ASM69521v1"	"galactose_transporters"	"MRSA"	2
"GCA_000695215.1_ASM69521v1"	"glucose_transporters"	"MRSA"	19
"GCA_000695215.1_ASM69521v1"	"lactose_transporters"	"MRSA"	8
"GCA_000695215.1_ASM69521v1"	"mannitol_transporters"	"MRSA"	42
"GCA_000695215.1_ASM69521v1"	"mannose_transporters"	"MRSA"	8
"GCA_000695215.1_ASM69521v1"	"polysia_transporters"	"MRSA"	3
"GCA_000695215.1_ASM69521v1"	"ribose_transporters"	"MRSA"	22
"GCA_000695215.1_ASM69521v1"	"sia_transporters"	"MRSA"	5
"GCA_000695215.1_ASM69521v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000695875.1_ASM69587v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000695875.1_ASM69587v1"	"galactose_transporters"	"MRSA"	2
"GCA_000695875.1_ASM69587v1"	"glucose_transporters"	"MRSA"	19
"GCA_000695875.1_ASM69587v1"	"lactose_transporters"	"MRSA"	6
"GCA_000695875.1_ASM69587v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000695875.1_ASM69587v1"	"mannose_transporters"	"MRSA"	8
"GCA_000695875.1_ASM69587v1"	"polysia_transporters"	"MRSA"	3
"GCA_000695875.1_ASM69587v1"	"ribose_transporters"	"MRSA"	24
"GCA_000695875.1_ASM69587v1"	"sia_transporters"	"MRSA"	5
"GCA_000695875.1_ASM69587v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000709475.1_ASM70947v1"	"arabinose_transporters"	"MRSA"	23
"GCA_000709475.1_ASM70947v1"	"galactose_transporters"	"MRSA"	2
"GCA_000709475.1_ASM70947v1"	"glucose_transporters"	"MRSA"	18
"GCA_000709475.1_ASM70947v1"	"lactose_transporters"	"MRSA"	4
"GCA_000709475.1_ASM70947v1"	"mannitol_transporters"	"MRSA"	42
"GCA_000709475.1_ASM70947v1"	"mannose_transporters"	"MRSA"	8
"GCA_000709475.1_ASM70947v1"	"polysia_transporters"	"MRSA"	3
"GCA_000709475.1_ASM70947v1"	"ribose_transporters"	"MRSA"	25
"GCA_000709475.1_ASM70947v1"	"sia_transporters"	"MRSA"	6
"GCA_000709475.1_ASM70947v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000737615.1_ASM73761v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000737615.1_ASM73761v1"	"galactose_transporters"	"MRSA"	2
"GCA_000737615.1_ASM73761v1"	"glucose_transporters"	"MRSA"	20
"GCA_000737615.1_ASM73761v1"	"lactose_transporters"	"MRSA"	4
"GCA_000737615.1_ASM73761v1"	"mannitol_transporters"	"MRSA"	41
"GCA_000737615.1_ASM73761v1"	"mannose_transporters"	"MRSA"	8
"GCA_000737615.1_ASM73761v1"	"polysia_transporters"	"MRSA"	3
"GCA_000737615.1_ASM73761v1"	"ribose_transporters"	"MRSA"	23
"GCA_000737615.1_ASM73761v1"	"sia_transporters"	"MRSA"	5
"GCA_000737615.1_ASM73761v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000756205.1_ASM75620v1"	"arabinose_transporters"	"MSSA"	23
"GCA_000756205.1_ASM75620v1"	"galactose_transporters"	"MSSA"	2
"GCA_000756205.1_ASM75620v1"	"glucose_transporters"	"MSSA"	21
"GCA_000756205.1_ASM75620v1"	"lactose_transporters"	"MSSA"	6
"GCA_000756205.1_ASM75620v1"	"mannitol_transporters"	"MSSA"	44
"GCA_000756205.1_ASM75620v1"	"mannose_transporters"	"MSSA"	8
"GCA_000756205.1_ASM75620v1"	"polysia_transporters"	"MSSA"	3
"GCA_000756205.1_ASM75620v1"	"ribose_transporters"	"MSSA"	21
"GCA_000756205.1_ASM75620v1"	"sia_transporters"	"MSSA"	4
"GCA_000756205.1_ASM75620v1"	"sucrose_transporters"	"MSSA"	3
"GCA_000772025.1_ASM77202v1"	"arabinose_transporters"	"MRSA"	23
"GCA_000772025.1_ASM77202v1"	"galactose_transporters"	"MRSA"	2
"GCA_000772025.1_ASM77202v1"	"glucose_transporters"	"MRSA"	19
"GCA_000772025.1_ASM77202v1"	"lactose_transporters"	"MRSA"	9
"GCA_000772025.1_ASM77202v1"	"mannitol_transporters"	"MRSA"	45
"GCA_000772025.1_ASM77202v1"	"mannose_transporters"	"MRSA"	9
"GCA_000772025.1_ASM77202v1"	"polysia_transporters"	"MRSA"	3
"GCA_000772025.1_ASM77202v1"	"ribose_transporters"	"MRSA"	21
"GCA_000772025.1_ASM77202v1"	"sia_transporters"	"MRSA"	6
"GCA_000772025.1_ASM77202v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000815045.1_ASM81504v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000815045.1_ASM81504v1"	"galactose_transporters"	"MRSA"	2
"GCA_000815045.1_ASM81504v1"	"glucose_transporters"	"MRSA"	19
"GCA_000815045.1_ASM81504v1"	"lactose_transporters"	"MRSA"	6
"GCA_000815045.1_ASM81504v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000815045.1_ASM81504v1"	"mannose_transporters"	"MRSA"	8
"GCA_000815045.1_ASM81504v1"	"polysia_transporters"	"MRSA"	3
"GCA_000815045.1_ASM81504v1"	"ribose_transporters"	"MRSA"	24
"GCA_000815045.1_ASM81504v1"	"sia_transporters"	"MRSA"	5
"GCA_000815045.1_ASM81504v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000815085.1_ASM81508v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000815085.1_ASM81508v1"	"galactose_transporters"	"MRSA"	2
"GCA_000815085.1_ASM81508v1"	"glucose_transporters"	"MRSA"	19
"GCA_000815085.1_ASM81508v1"	"lactose_transporters"	"MRSA"	6
"GCA_000815085.1_ASM81508v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000815085.1_ASM81508v1"	"mannose_transporters"	"MRSA"	8
"GCA_000815085.1_ASM81508v1"	"polysia_transporters"	"MRSA"	3
"GCA_000815085.1_ASM81508v1"	"ribose_transporters"	"MRSA"	24
"GCA_000815085.1_ASM81508v1"	"sia_transporters"	"MRSA"	5
"GCA_000815085.1_ASM81508v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000815125.1_ASM81512v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000815125.1_ASM81512v1"	"galactose_transporters"	"MRSA"	2
"GCA_000815125.1_ASM81512v1"	"glucose_transporters"	"MRSA"	19
"GCA_000815125.1_ASM81512v1"	"lactose_transporters"	"MRSA"	6
"GCA_000815125.1_ASM81512v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000815125.1_ASM81512v1"	"mannose_transporters"	"MRSA"	8
"GCA_000815125.1_ASM81512v1"	"polysia_transporters"	"MRSA"	3
"GCA_000815125.1_ASM81512v1"	"ribose_transporters"	"MRSA"	24
"GCA_000815125.1_ASM81512v1"	"sia_transporters"	"MRSA"	5
"GCA_000815125.1_ASM81512v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000815165.1_ASM81516v1"	"arabinose_transporters"	"MRSA"	21
"GCA_000815165.1_ASM81516v1"	"galactose_transporters"	"MRSA"	2
"GCA_000815165.1_ASM81516v1"	"glucose_transporters"	"MRSA"	19
"GCA_000815165.1_ASM81516v1"	"lactose_transporters"	"MRSA"	6
"GCA_000815165.1_ASM81516v1"	"mannitol_transporters"	"MRSA"	44
